S. cerevisiae			
Genes included in this table have RNA RPM >= 10.0 and RPF RPM > 0 for RNA-Seq and ribosome profiling data			
Transcript ID	mRNA RPKM	RPF RPKM	log2(TE)
YCL054W	84.42	87.8	0.05663611
YCL055W	36.98	45.55	0.300705829
YCL057C-A	179.67	340.96	0.92425296
YCL057W	132.73	98.5	-0.43029886
YCL059C	148.08	166.87	0.172347809
YCL061C	30.32	16.56	-0.872567081
YCL063W	33.21	19.99	-0.732339251
YCL064C	373.93	574.46	0.619438219
YCR002C	106.63	138.32	0.375396381
YCR003W	40.83	58.27	0.513123743
YCR004C	235.46	361.91	0.620148976
YCR005C	99.27	85.34	-0.218135682
YCR008W	104.22	28.42	-1.8746537
YCR009C	168.93	196.79	0.220231354
YCR011C	97.55	66.8	-0.54629377
YCR012W	9766.9	13783.74	0.496994763
YCR014C	13.18	0.07	-7.556779733
YCR015C	21.62	13.5	-0.679407116
YCR016W	56.4	80.22	0.508266804
YCR017C	122.11	57.92	-1.076047845
YCR018C	48.69	28.68	-0.763580477
YCR019W	21.23	13.27	-0.677936001
YCR020C-A	72.55	68.49	-0.083082254
YCR020W-B	59.52	94.36	0.664800892
YCR023C	38.68	11.32	-1.772713837
YCR024C	11.78	7.76	-0.602210982
YCR024C-A	2004.25	4581.4	1.192726055
YCR024C-B	786.2	0.47	-10.70801989
YCR026C	35.38	22.02	-0.684119579
YCR027C	28.78	24.63	-0.224649964
YCR028C	36.64	24.31	-0.59186961
YCR028C-A	290.02	686.5	1.243107327
YCR030C	46.76	40.91	-0.192821393
YCR032W	23.45	4.08	-2.522946865
YCR033W	46.46	14.51	-1.678941635
YCR034W	217.38	210.09	-0.049211718
YCR035C	57.16	61.37	0.102527667
YCR036W	68	64.05	-0.086336176
YCR037C	33.16	7.79	-2.089748773
YCR042C	37.88	24.6	-0.622778015
YCR043C	147.51	158.79	0.106307299
YCR044C	72.9	46.32	-0.654283561
YCR046C	88.81	95.54	0.105382744
YCR047C	48.67	85.37	0.810696405
YCR048W	74.6	45.21	-0.722533713
YCR051W	142.08	176.96	0.316719804
YCR052W	83.25	71.03	-0.229021787
YCR053W	466.82	622.7	0.415670907
YCR054C	24.88	21.24	-0.228202719
YCR057C	93.74	63.07	-0.571710862
YCR059C	74.3	41.59	-0.837125526
YCR060W	81.15	76.97	-0.076294847
YCR061W	53.3	69.48	0.382462221
YCR065W	52.64	32.42	-0.699275398
YCR066W	9.31	6.37	-0.547487795
YCR067C	59.15	43.56	-0.441374215
YCR068W	30.68	13.83	-1.149497326
YCR069W	94.57	78.7	-0.265018961
YCR071C	61.79	76.34	0.305065813
YCR072C	54	66.61	0.302779375
YCR073C	10.87	2.04	-2.413710883
YCR073W-A	66.5	77.15	0.214311816
YCR075C	29.26	18.39	-0.67000829
YCR075W-A	65.57	100.98	0.622961783
YCR076C	28.38	33.98	0.259811263
YCR077C	112.59	91.53	-0.29876211
YCR079W	16.02	3.66	-2.129958594
YCR081W	27.05	9.07	-1.576454138
YCR082W	239.23	176.89	-0.435545827
YCR083W	94.68	99.36	0.069605467
YCR084C	163.49	124.25	-0.395956543
YCR086W	22.58	38.35	0.764181092
YCR087C-A	97.84	155.9	0.672124619
YCR088W	232.2	423.5	0.866993997
YCR089W	11.7	1.53	-2.934904972
YCR090C	107.98	100.05	-0.110042955
YCR091W	8.09	4.49	-0.849424258
YCR092C	24.51	14.59	-0.748390601
YCR093W	126.47	58.47	-1.113026707
YCR094W	60.99	42.2	-0.531329717
YCR095C	31.22	19.78	-0.658428111
YCR097W	126.7	117.51	-0.10863299
YCR106W	13.08	2.64	-2.308752706
YDL001W	21.4	22.02	0.041203672
YDL002C	44.68	61.99	0.472406318
YDL003W	49.98	53.95	0.110272058
YDL004W	205	335.42	0.710344805
YDL005C	40.63	29.84	-0.445297829
YDL006W	48.08	44.98	-0.096153235
YDL007W	171.27	254.5	0.571393188
YDL008W	55.74	43.48	-0.358361062
YDL010W	37.19	53.26	0.518137681
YDL012C	68.85	224.26	1.703643758
YDL013W	27.59	14.66	-0.912260353
YDL014W	528.22	1014.15	0.941060221
YDL015C	222.57	262.2	0.236408539
YDL017W	15.93	13.23	-0.267933205
YDL018C	64.4	60.72	-0.084888898
YDL019C	60.29	33.93	-0.829357299
YDL020C	82.79	64.69	-0.355913806
YDL021W	20.53	20.64	0.007709343
YDL022W	216.24	386.3	0.837088261
YDL025C	26.35	13.11	-1.007135276
YDL027C	23.39	10.08	-1.214396223
YDL028C	28.47	13.04	-1.126498624
YDL029W	257.83	228.74	-0.172711466
YDL030W	22.96	18.25	-0.331226178
YDL031W	90.17	71.6	-0.332687934
YDL033C	18.37	6.71	-1.452966955
YDL035C	42.93	14.42	-1.573915008
YDL036C	30.71	17.35	-0.82377285
YDL040C	166.86	128.5	-0.376869791
YDL042C	27	18.05	-0.58096057
YDL043C	28.19	44.03	0.643303366
YDL044C	19.08	16.78	-0.185318456
YDL045C	28.67	27.45	-0.062735755
YDL045W-A	91.24	139.44	0.611906123
YDL046W	175.69	258.8	0.55880554
YDL047W	77.36	72.59	-0.091816979
YDL051W	274.94	300.05	0.126086115
YDL052C	147.06	120.97	-0.28175558
YDL053C	93.51	137.51	0.556343977
YDL054C	24.82	20.74	-0.259087221
YDL055C	1666.28	2282.71	0.454116738
YDL056W	31.33	18.32	-0.774125266
YDL057W	14.77	14.34	-0.042624802
YDL058W	79.14	42.93	-0.882420893
YDL060W	79.9	68.23	-0.227789287
YDL063C	68.57	41.86	-0.712005211
YDL064W	157.49	230.29	0.54819154
YDL065C	50.32	85.42	0.763441976
YDL066W	343.86	334.77	-0.038651054
YDL067C	151.38	414.16	1.452013611
YDL070W	121.77	61.97	-0.974516872
YDL072C	208.66	227.95	0.127563346
YDL073W	37.33	8.2	-2.186639694
YDL074C	83.7	44.61	-0.907860475
YDL075W	3655.7	5798.9	0.665631577
YDL076C	40.96	36.58	-0.16316064
YDL077C	28.24	11.35	-1.315047791
YDL078C	147.89	205.41	0.473981914
YDL080C	20.74	5.64	-1.878648826
YDL081C	3761.7	5038.8	0.421695397
YDL084W	869.01	922.96	0.086895346
YDL085C-A	154.74	281.1	0.861237275
YDL086W	130.8	140.18	0.099917989
YDL087C	24.16	19.35	-0.320286888
YDL088C	49.89	32.39	-0.623202201
YDL089W	30.53	17.27	-0.821959507
YDL090C	30.61	22.04	-0.473878821
YDL091C	22.35	13.2	-0.759736902
YDL092W	135.03	200.28	0.56873839
YDL093W	42.55	28.93	-0.556592809
YDL095W	283.13	210.96	-0.424495147
YDL097C	193.47	244.2	0.335953325
YDL098C	34.76	29.67	-0.228423155
YDL099W	51.17	83.8	0.711652011
YDL100C	414.93	492.82	0.248192836
YDL101C	32.66	24.27	-0.428350682
YDL102W	37.19	32.94	-0.175074193
YDL103C	77.47	107.99	0.479188079
YDL104C	10.4	6.57	-0.662618253
YDL105W	14.52	8.48	-0.775905283
YDL106C	24.06	25.1	0.061050722
YDL107W	18.08	13.22	-0.451672501
YDL108W	33.19	35.12	0.081544215
YDL109C	12.33	1.04	-3.567517366
YDL110C	46.48	82.45	0.826909425
YDL111C	79.11	59.44	-0.412425956
YDL112W	76.38	44.53	-0.778417308
YDL113C	29.78	16.35	-0.865053118
YDL115C	25.62	30.84	0.26753229
YDL116W	58.85	40.98	-0.522122431
YDL117W	49.23	20.92	-1.234654888
YDL119C	17.55	16.49	-0.089879632
YDL120W	100.86	106.41	0.077279606
YDL121C	155.4	128.42	-0.2751166
YDL122W	88.96	48.29	-0.881432325
YDL123W	27.29	32.55	0.254285149
YDL124W	255.11	323.06	0.340682681
YDL125C	423.06	669.89	0.663061929
YDL126C	707.66	867.55	0.293890533
YDL127W	32.96	24.16	-0.448095788
YDL128W	109.29	95.99	-0.187205379
YDL129W	16.76	10.88	-0.623343592
YDL130W	3309.45	4439.2	0.423708234
YDL130W-A	64.97	142.82	1.136352413
YDL132W	90.16	59.04	-0.610794794
YDL133W	30.71	12.05	-1.349675366
YDL135C	132.08	251.34	0.928228265
YDL138W	16.41	2.64	-2.635965404
YDL140C	243.92	138.76	-0.81381631
YDL141W	60.85	37.46	-0.699906363
YDL142C	20.65	17.58	-0.232206711
YDL143W	264.65	235.51	-0.168297334
YDL144C	64.87	53.2	-0.286125193
YDL145C	318.32	199.9	-0.671199332
YDL146W	26.08	8.56	-1.607261168
YDL147W	199.48	237.98	0.254596225
YDL148C	71.31	77.72	0.124181497
YDL149W	9.87	4.68	-1.076541555
YDL150W	58.12	55.21	-0.074105102
YDL153C	53.36	102.42	0.940666893
YDL154W	10.32	0.76	-3.763299742
YDL155W	53.01	27.88	-0.927033979
YDL156W	20.28	16.3	-0.315185688
YDL157C	183.91	236.27	0.361436529
YDL159W	21.38	15.51	-0.463063167
YDL160C	217.84	339.22	0.638952344
YDL161W	51.09	81.24	0.669149304
YDL164C	35.92	31.63	-0.183493794
YDL165W	66.31	88.49	0.416287975
YDL166C	67.61	116.44	0.784278192
YDL167C	65.1	37.39	-0.800005072
YDL168W	99.07	192.94	0.961632114
YDL170W	16.78	7.97	-1.074091086
YDL171C	227.51	126.41	-0.847819363
YDL173W	96.69	103.46	0.097634502
YDL174C	58.44	34.9	-0.743729142
YDL175C	27.42	29.32	0.096656532
YDL176W	18.43	5.58	-1.723719044
YDL177C	23.74	13.76	-0.786839465
YDL178W	56.38	55.97	-0.01052973
YDL179W	32.79	31.79	-0.044682885
YDL180W	23.07	12.34	-0.90267561
YDL185W	969.36	1052.15	0.11823594
YDL189W	58.33	38.87	-0.585580966
YDL190C	62.65	45.3	-0.467803459
YDL192W	1009.99	1030.89	0.029549391
YDL193W	71.26	73.81	0.050723807
YDL194W	9.53	2.55	-1.901978967
